"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",50.8,49.2,100,160,31,"31/160","Es sind <b>31 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>31 des 160 communes sont connus.","I risultati di <b>31 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",0,0,50,329,0,"0/329","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
3,"Luzern","Lucerne","Lucerna",50,50,0,79,73,"73/79","Es sind <b>73 von 79</b> Gemeinden ausgezählt.","Le résultats de <b>73 des 79 communes sont connus.","I risultati di <b>73 dei 79 comuni sono noti."
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
5,"Schwyz","Schwyz","Svitto",64.5,35.5,100,30,15,"15/30","Es sind <b>15 von 30</b> Gemeinden ausgezählt.","Le résultats de <b>15 des 30 communes sont connus.","I risultati di <b>15 dei 30 comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",58.4,41.6,100,7,5,"5/7","Es sind <b>5 von 7</b> Gemeinden ausgezählt.","Le résultats de <b>5 des 7 communes sont connus.","I risultati di <b>5 dei 7 comuni sono noti."
7,"Nidwalden","Nidwald","Nidvaldo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
8,"Glarus","Glaris","Glarona",0,0,50,3,0,"0/3","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",45.1,54.9,0,119,111,"111/119","Es sind <b>111 von 119</b> Gemeinden ausgezählt.","Le résultats de <b>111 des 119 communes sont connus.","I risultati di <b>111 dei 119 comuni sono noti."
11,"Solothurn","Soleure","Soletta",0,0,50,104,0,"0/104","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",26.8,73.2,0,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",44.7,55.3,0,86,65,"65/86","Es sind <b>65 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>65 des 86 communes sont connus.","I risultati di <b>65 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",53.7,46.3,100,20,15,"15/20","Es sind <b>15 von 20</b> Gemeinden ausgezählt.","Le résultats de <b>15 des 20 communes sont connus.","I risultati di <b>15 dei 20 comuni sono noti."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
17,"St. Gallen","Saint-Gall","San Gallo",56.3,43.7,100,75,60,"60/75","Es sind <b>60 von 75</b> Gemeinden ausgezählt.","Le résultats de <b>60 des 75 communes sont connus.","I risultati di <b>60 dei 75 comuni sono noti."
18,"Graubünden","Grisons","Grigioni",50.5,49.5,100,100,87,"87/100","Es sind <b>87 von 100</b> Gemeinden ausgezählt.","Le résultats de <b>87 des 100 communes sont connus.","I risultati di <b>87 dei 100 comuni sono noti."
19,"Aargau","Argovie","Argovia",54.3,45.7,100,196,181,"181/196","Es sind <b>181 von 196</b> Gemeinden ausgezählt.","Le résultats de <b>181 des 196 communes sont connus.","I risultati di <b>181 dei 196 comuni sono noti."
