"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,40.7,40.7,59.3,"Aeugst am Albis ZH","Die Wohnungsinitiative ist in Aeugst am Albis mit 91,1 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 59,3 Prozent abgelehnt."
2,72.8,72.8,27.2,"Affoltern am Albis ZH","Affoltern am Albis hat mit 62,7 Prozent Nein gesagt zur Wohnungsinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 72,8 Prozent."
3,50.6,50.6,49.4,"Bonstetten ZH","Bonstetten hat mit 61,4 Prozent Nein gesagt zur Wohnungsinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 50,6 Prozent."
4,84.9,84.9,15.1,"Hausen am Albis ZH","53,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für die Wohnungsinitiative und 84,9 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 52,6 Prozent dem Gegenvorschlag den Vorrang."
5,50.5,50.5,49.5,"Hedingen ZH","Hedingen hat sich mit 93,7 Prozent gegen die Wohnungsinitiative ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 50,5 Prozent angenommen."
6,86,86,14,"Kappel am Albis ZH","Kappel am Albis hat mit 53 Prozent Nein gesagt zur Wohnungsinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 86 Prozent."
7,24.6,24.6,75.4,"Knonau ZH","Sowohl die Wohnungsinitiative (62,8 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (75,4 Prozent Nein) sind in Knonau durchgefallen."
8,18.3,18.3,81.7,"Maschwanden ZH","Maschwanden hat mit 67,6 Prozent Ja gesagt zur Wohnungsinitiative. Den Gegenvorschlag von Kantons- und Regierungsrat lehnte eine Mehrheit von 81,7 Prozent ab."
9,60.7,60.7,39.3,"Mettmenstetten ZH","83,7 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Wohnungsinitiative und 60,7 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 51 Prozent dem Gegenvorschlag den Vorrang."
10,10.9,10.9,89.1,"Obfelden ZH","Weder die Wohnungsinitiative (79,5 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (89,1 Prozent Nein) haben in Obfelden eine Mehrheit gefunden."
11,38.8,38.8,61.2,"Ottenbach ZH","Sowohl die Wohnungsinitiative (64,8 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (61,2 Prozent Nein) sind in Ottenbach durchgefallen."
12,18,18,82,"Rifferswil ZH","Die Gemeinde Rifferswil hat die Wohnungsinitiative mit 64,6 Prozent angenommen. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 82 Prozent abgelehnt."
