"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,32.6,32.6,67.4,"Arbedo-Castione (TI)","Con il 67,4 per cento dei voti, Arbedo-Castione ha respinto l'Iniziativa ""No a una Svizzera da 10 milioni!"". NA"
5002,51.8,51.8,48.2,"Bellinzona (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Bellinzona: 51,8 per cento. NA"
5003,39,39,61,"Cadenazzo (TI)","A Cadenazzo l'Iniziativa ""No a una Svizzera da 10 milioni!"" non ottiene la maggioranza: 61 per cento di no. NA"
5009,42.6,42.6,57.4,"Isone (TI)","La popolazione di Isone respinge l'Iniziativa ""No a una Svizzera da 10 milioni!"" con il 57,4 per cento. NA"
5010,38.9,38.9,61.1,"Lumino (TI)","A Lumino, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 61,1 per cento. NA"
5017,56.6,56.6,43.4,"Sant'Antonino (TI)","A Sant'Antonino, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è approvata con il 56,6 per cento. NA"
5048,53.9,53.9,46.1,"Acquarossa (TI)","A Acquarossa l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata approvata con il 53,9 per cento. NA"
5049,79.3,79.3,20.7,"Blenio (TI)","A Blenio l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata approvata con il 79,3 per cento. NA"
5050,48.6,48.6,51.4,"Serravalle (TI)","A Serravalle, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 51,4 per cento. NA"
5061,19.3,19.3,80.7,"Airolo (TI)","A Airolo l'Iniziativa ""No a una Svizzera da 10 milioni!"" non ottiene la maggioranza: 80,7 per cento di no. NA"
5063,47.5,47.5,52.5,"Bedretto (TI)","Con il 52,5 per cento dei voti, Bedretto ha respinto l'Iniziativa ""No a una Svizzera da 10 milioni!"". NA"
5071,61.2,61.2,38.8,"Dalpe (TI)","A Dalpe, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è approvata con il 61,2 per cento. NA"
5072,91.3,91.3,8.7,"Faido (TI)","A Faido, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è approvata con il 91,3 per cento. NA"
5073,56.6,56.6,43.4,"Giornico (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Giornico: 56,6 per cento. NA"
5076,23.4,23.4,76.6,"Personico (TI)","A Personico l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 76,6 per cento. NA"
5077,38.3,38.3,61.7,"Pollegio (TI)","La popolazione di Pollegio respinge l'Iniziativa ""No a una Svizzera da 10 milioni!"" con il 61,7 per cento. NA"
5079,47,47,53,"Quinto (TI)","A Quinto l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 53 per cento. NA"
5091,86.7,86.7,13.3,"Ascona (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Ascona: 86,7 per cento. NA"
5096,97.1,97.1,2.9,"Brione sopra Minusio (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Brione sopra Minusio, con il 97,1 per cento di voti favorevoli. NA"
5097,99,99,1,"Brissago (TI)","A Brissago l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata approvata con il 99 per cento. NA"
5108,15.2,15.2,84.8,"Gordola (TI)","A Gordola, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 84,8 per cento. NA"
5112,58.4,58.4,41.6,"Lavertezzo (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Lavertezzo, con il 58,4 per cento di voti favorevoli. NA"
5113,71.1,71.1,28.9,"Locarno (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Locarno, con il 71,1 per cento di voti favorevoli. NA"
5115,82,82,18,"Losone (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Losone con il 82 per cento. NA"
5117,96.3,96.3,3.7,"Mergoscia (TI)","A Mergoscia, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è approvata con il 96,3 per cento. NA"
5118,73.2,73.2,26.8,"Minusio (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Minusio: 73,2 per cento. NA"
5120,59.4,59.4,40.6,"Muralto (TI)","A Muralto, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata approvata con il 59,4 per cento. NA"
5121,54.5,54.5,45.5,"Orselina (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Orselina con il 54,5 per cento. NA"
5125,43.3,43.3,56.7,"Ronco sopra Ascona (TI)","A Ronco sopra Ascona l'Iniziativa ""No a una Svizzera da 10 milioni!"" non ottiene la maggioranza: 56,7 per cento di no. NA"
5131,45.5,45.5,54.5,"Tenero-Contra (TI)","A Tenero-Contra l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 54,5 per cento. NA"
5136,50.8,50.8,49.2,"Onsernone (TI)","Sì all'Iniziativa ""No a una Svizzera da 10 milioni!"" a Onsernone, con il 50,8 per cento di voti favorevoli. NA"
