"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,79.9,79.9,20.1,"Aeugst am Albis ZH","Aeugst am Albis hat die Wohnungsinitiative mit 79,9 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 54,7 Prozent angenommen.Bei der Stichfrage haben sich die Stimmberechtigten mit 89 Prozent für die Initiative ausgesprochen."
2,76.9,76.9,23.1,"Affoltern am Albis ZH","Affoltern am Albis hat die Wohnungsinitiative mit 76,9 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 80,3 Prozent angenommen.Bei der Stichfrage haben sich die Stimmberechtigten mit 66,6 Prozent für die Initiative ausgesprochen."
3,28.4,28.4,71.6,"Bonstetten ZH","Bonstetten hat mit 71,6 Prozent Nein gesagt zur Wohnungsinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 59,9 Prozent."
4,61.6,61.6,38.4,"Hausen am Albis ZH","Hausen am Albis hat mit 61,6 Prozent Ja gesagt zur Wohnungsinitiative. Den Gegenvorschlag von Kantons- und Regierungsrat lehnte eine Mehrheit von 96 Prozent ab."
5,68.7,68.7,31.3,"Hedingen ZH","Die die Wohnungsinitiative ist in Hedingen mit 68,7 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 59,6 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 87,2 Prozent für die Initiative ausgesprochen."
6,59.8,59.8,40.2,"Kappel am Albis ZH","Kappel am Albis hat die Wohnungsinitiative mit 59,8 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 50,8 Prozent angenommen.Bei der Stichfrage haben sich die Stimmberechtigten mit 56,9 Prozent für die Initiative ausgesprochen."
7,19.5,19.5,80.5,"Knonau ZH","Sowohl die Wohnungsinitiative (80,5 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (94,7 Prozent Nein) sind in Knonau durchgefallen."
8,48.1,48.1,51.9,"Maschwanden ZH","51,9 Prozent der Abstimmenden in Maschwanden haben sich gegen die Wohnungsinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 55,6 Prozent."
9,64.5,64.5,35.5,"Mettmenstetten ZH","64,5 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Wohnungsinitiative und 87 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 71,5 Prozent dem Gegenvorschlag den Vorrang."
10,55.9,55.9,44.1,"Obfelden ZH","Obfelden hat mit 55,9 Prozent Ja gesagt zur Wohnungsinitiative. Den Gegenvorschlag von Kantons- und Regierungsrat lehnte eine Mehrheit von 84,8 Prozent ab."
